timestamp,open,high,low,close,adjusted close,volume,dividend amount
2009-03-27,93.7000,99.8600,92.7500,94.1500,56.9116,60950700,0.0000
2009-03-20,91.3400,95.0000,89.4100,92.5100,55.9203,63330900,0.0000
2009-03-13,84.7000,90.6500,83.0200,90.3600,54.6206,61831600,0.0000
2009-03-06,91.1700,91.9000,83.8100,85.8100,51.8702,74483600,0.0000
2009-02-27,89.3000,93.2800,82.8500,92.0300,55.6301,77805700,0.0000
2009-02-20,91.7300,92.4900,87.3400,88.7900,53.6716,42419500,0.0000
2009-02-13,95.9300,96.9800,92.2000,93.8400,56.7242,49132900,0.0000
2009-02-06,90.6000,97.1000,89.6900,96.1400,58.1145,53659500,0.5000
2009-01-30,89.7700,94.9400,89.5200,91.6500,55.1138,50819300,0.0000
2009-01-23,84.7600,91.6000,81.7600,89.4900,53.8149,61309500,0.0000
2009-01-16,84.5700,86.6000,82.1100,84.9200,51.0667,48180000,0.0000
2009-01-09,86.4200,90.4100,84.2500,84.7000,50.9344,41092400,0.0000
2009-01-02,81.7200,87.5900,79.6800,87.3700,52.5400,26062900,0.0000
2008-12-26,83.2700,83.4500,79.9200,81.3300,48.9078,18974200,0.0000
2008-12-19,82.5100,87.2700,80.0000,83.5200,50.2248,50128100,0.0000
2008-12-12,82.5700,85.8800,78.0600,82.2000,49.4310,49785100,0.0000
2008-12-05,80.9500,81.5000,75.3100,80.5900,48.4628,51454000,0.0000
2008-11-28,75.7400,82.4000,75.0000,81.6000,49.0702,39691800,0.0000
2008-11-21,79.4000,81.0000,69.5000,74.8800,45.0291,73411500,0.0000
2008-11-14,87.9900,88.1000,75.4000,80.3300,48.3065,58194400,0.0000
2008-11-07,92.6400,94.7600,84.2500,86.2700,51.8785,47015300,0.5000
2008-10-31,80.2700,94.1900,79.0100,92.9700,55.5812,60537100,0.0000
2008-10-24,92.2100,93.3100,78.8200,82.0700,49.0647,58306900,0.0000
2008-10-17,90.4400,99.0000,84.3500,90.7800,54.2719,75048600,0.0000
2008-10-10,101.2100,103.0000,83.5100,87.7500,52.4605,86848900,0.0000
2008-10-03,117.4400,118.4300,103.0300,103.4400,61.8406,62809100,0.0000
2008-09-26,118.4500,121.9900,114.1400,119.4200,71.3940,34730600,0.0000
